1	Far NorthEast Division 7th and 8th Districts
3	NorthEast Division 2nd and 15th Districts
5	NorthCentral Division 22nd District
7	Central Division 6th and 9th Districts
9	South Division 1 1st 3rd and 17th Districts
11	SouthWest Division 12th and 18th Districts
13	West Division 16th and 19th Districts
15	North Division 14th and 35th Districts
17	NorthWest Division 5th and 39th Districts
19	East Division 1 24th and 26th Districts
21	East Division 2 25th District
23	CityWide Emergency
25	CityWide Traffic Operations
27	CityWide Administrative Operations
29	South Division 2 South Street Operations
31	CityWide Special Events 1
33	CityWide Special Events 2
35	Police Academy Training Operations
37	CityWide Civil Affairs Division
39	CityWide Police Commanders
41	CityWide Dignitary Unit
43	CityWide Homicide Division  Special Investigations Unit
45	CityWide Homicide Division  Line Squad
47	CityWide Homicide Division  Fugitive Squad
49	CityWide Impact Operations 1
51	CityWide Impact Operations 2
53	CityWide Impact Operations 3
55	CityWide Internal Affairs Bureau Operations 1
57	CityWide Internal Affairs Bureau Operations 2
59	CityWide Integrity Control Division
61	CityWide Explosive Ordinance Disposal Unit
63	CityWide Organized Crime Bureau  
65	CityWide Aviation Division Operations
67	CityWide SWAT Operations
69	CityWide Warrant Unit
71	CityWide Police All Group
73	Internal Affairs Bureau  Squad 10 Operations
75	Internal Affairs Bureau  Squad 11 Operations
77	Internal Affairs Bureau  Squad 12 Operations
79	Internal Affairs Bureau  Squad 13 Operations
81	Internal Affairs Bureau  Squad 14 Operations
83	CityWide Investigations 1
85	CityWide Investigations 2
87	CityWide Vice Division 1
89	CityWide Vice Division 2
91	CityWide ATF Cease Fire Squad
93	CityWide Major Crime Division Operations 1
95	CityWide Major Crime Division Operations 2
97	CityWide Major Crime Division Operations 3
99	Narcotics Field Unit  South Division 1
101	Narcotics Field Unit  South Division 2
103	Narcotics Field Unit  South Division 3
105	Narcotics Field Unit  East Division 1
107	Narcotics Field Unit  East Division 2
109	Narcotics Field Unit  East Division 3
111	Narcotics Field Unit  East Division 4
113	Narcotics Field Unit  North Division 1
115	Narcotics Field Unit  North Division 2
117	Narcotics Field Unit  North Division 3
119	CityWide Strike Force Operations 1
121	CityWide Strike Force Operations 2
123	CityWide Strike Force Operations 3
125	CityWide Narcotics Investigations 1
127	CityWide Narcotics Investigations 2
129	CityWide Narcotics Investigations 3
131	2nd District Tactical
135	Auto Theft Task Force
139	6th District Tactical
141	7th District Tactical
143	8th District Tactical
145	9th District Tactical
147	12th District Tactical
149	16th District Tactical
153	18th District Tactical
155	19th District Tactical
157	22nd District Tactical
159	39th District Tactical
161	14th District Tactical
163	15th District Tactical
165	24th District Tactical
167	25th District Tactical
169	26th District Tactical
171	35th District Tactical
181	Abington Hospital
183	Aria Frankford Hospital
185	Aria Torresdale Hospital
187	Chestnut Hill Hospital
189	Childrens Hospital of Philadelphia
191	Albert Einstein Medical Center
195	Episcopal Hospital
199	Holy Redeemer Hospital ER
201	Hospital of the University of Pennsylvania
203	Jeanes Hospital
205	Lankenau Hospital
207	Mercy Fitzgerald Hospital ER
209	Mercy Philadelphia Hospital
211	Methodist Hospital
213	Nazareth Hospital
215	Penn Presbyterian Medical Center
217	Pennsylvania Hospital
